program_id,sample_id,task_clock,context_switches,page_faults,instructions,branches,branch_misses,L1_dcache_loads,LLC_loads,LLC_load_misses,L1_icache_loads,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses
ADD_20,0,6317.39,27,221,27825217411,5907841356,6219787,5884857366,14421118,734,4103372355,3234549,5891311705,147928,27847348505,60717
ADD_20,1,6295.63,20,217,27828636797,5908344335,6224841,5886061867,13638657,230,4102511161,3218721,5889270965,142173,27842613481,61916
ADD_20,2,6302.99,51,218,27823165338,5906523185,6224612,5884731388,15899169,4180,4105676194,3389453,5892958762,142039,27843566974,61320
ADD_20,3,6309.40,35,223,27836304005,5909587415,6228741,5886499467,13369057,4292,4101628714,3331807,5889285202,148820,27847395469,61339
ADD_20,4,6278.75,29,222,27826179271,5907838182,6236929,5887927411,14305627,467,4103214972,3365742,5888241302,147893,27829185908,61234
ADD_20,5,6301.25,23,221,27839741693,5910174948,6225414,5885357668,13280590,3722,4103918717,3683994,5890010356,143562,27845092815,93968
ADD_20,6,6299.67,28,216,27821500920,5904897091,6228767,5884870489,12984964,374,4105945886,3491448,5892990785,141197,27845338833,92202
ADD_20,7,6289.97,23,220,27826830875,5907775389,6237688,5886960102,17351819,71,4103817493,3408032,5888873342,141463,27837154077,57676
ADD_20,8,6281.68,36,223,27826158823,5907062004,6245055,5886910594,14076637,1126,4103524220,3496199,5888660615,148638,27839711094,60214
ADD_20,9,6292.75,38,222,27832468512,5907162245,6229231,5885029852,15154011,1768,4105245257,3583992,5890486182,143778,27846228922,92891
ADD_20,10,6295.50,37,219,27826345001,5907929259,6240477,5887287800,11798243,1170,4102903696,3389698,5889029488,143882,27838970505,62824
ADD_20,11,6279.33,22,220,27815803261,5904836642,6218082,5886059603,12887257,457,4104940037,3292515,5890839551,143192,27836539409,61686
ADD_20,12,6314.86,30,218,27830762373,5907103271,6224758,5884103090,18295747,4694,4105168514,3346901,5892753110,149160,27853527796,60066
ADD_20,13,6300.44,32,223,27823961201,5905786387,6237862,5885215445,13160663,152,4104835623,3422447,5890134100,143059,27841810057,60389
ADD_20,14,6293.51,18,222,27831388871,5907052832,6231311,5885514502,17300289,487,4103145814,3420378,5890489024,146447,27844484340,58673
ADD_20,15,6296.55,31,217,27828887785,5906862415,6227328,5886184137,17108484,631,4103582566,3604038,5890299307,142718,27846728725,58658
ADD_20,16,6280.68,26,221,27825226614,5905945385,6220481,5886045510,16391219,412,4105116092,3454719,5891230114,142932,27838621847,61797
ADD_20,17,6300.57,39,216,27832210242,5909159326,6237092,5886984168,13385598,901,4104770801,3411126,5888872171,149781,27833472626,60258
ADD_20,18,6301.21,20,223,27831832859,5907174930,6231124,5884238400,19230536,3198,4102981671,2938096,5893235112,143993,27851422211,92523
ADD_20,19,6321.44,32,221,27841752356,5908732883,6227180,5888220382,15619532,867,4103279928,3431172,5887041467,151455,27836746337,63302
ADD_0,0,6000.93,23,225,26057968809,5569064531,5194387,5423015403,13231500,3582,3871307135,3194307,5435509442,131699,26095089910,58062
ADD_0,1,5960.49,29,221,26062224763,5571694503,5200062,5426141262,12491302,382,3872691551,3083116,5428698777,133527,26069362623,58231
ADD_0,2,5983.32,32,223,26049649036,5567118639,5212421,5422624464,11993052,253,3873025745,2953604,5434558746,132935,26086985480,87822
ADD_0,3,5980.14,31,221,26049678913,5569277996,5218074,5427034887,11657302,286,3872117825,3058275,5428444816,141705,26067094991,57375
ADD_0,4,5996.68,30,222,26053640461,5568315737,5200458,5424532076,15105646,3156,3874008148,3097678,5432943851,139105,26074693297,58118
ADD_0,5,5984.83,37,221,26042158834,5566882017,5207242,5426508188,13640671,113,3875071716,3114000,5430095425,134997,26060499319,55552
ADD_0,6,5981.00,18,222,26066290258,5572185356,5211294,5426394276,11858365,234,3870162309,3241279,5427160867,135984,26069839489,57159
ADD_0,7,5985.44,25,219,26056091512,5569711916,5204696,5425447378,12544345,923,3870752034,3247129,5431638952,133440,26079446527,57442
ADD_0,8,5995.52,26,216,26049399631,5568830816,5199309,5425041783,11734658,3662,3873698721,2979723,5430856647,140819,26072082361,57641
ADD_0,9,5980.05,17,217,26060326011,5569341945,5205754,5422908661,11869736,117,3873455018,3137685,5431645119,134937,26078284325,57371
ADD_0,10,5988.10,27,220,26037150008,5566916673,5201563,5426567378,12523668,670,3875844013,3081926,5429417347,142454,26054351240,87071
ADD_0,11,6002.46,17,218,26043280754,5567825805,5199692,5424088650,15237668,3224,3873704609,3192530,5432297244,135749,26075719412,87515
ADD_0,12,5990.57,30,219,26051620367,5569392444,5210670,5426242734,12307148,4128,3873075660,3184457,5430271332,139606,26067653380,58104
ADD_0,13,6001.15,32,221,26051292351,5569679417,5206118,5424462854,14958894,4501,3875192113,3145852,5430896984,136034,26073950634,58847
ADD_0,14,5975.74,18,217,26050998589,5569465617,5206157,5428917055,12549343,302,3872831361,3186003,5427435401,136569,26053067285,57850
ADD_0,15,5979.03,30,220,26048669393,5570602907,5206774,5427713263,11098410,1043,3872902794,3155341,5426581491,140324,26061494347,57675
ADD_0,16,5981.34,15,223,26051196704,5569815250,5199722,5426034611,10681713,143,3874635519,3275888,5430660305,135316,26069963810,57348
ADD_0,17,6004.26,28,218,26047118148,5569554446,5210241,5428277326,13354241,3859,3873341801,3221647,5427124217,134994,26053965443,75620
