program_id,sample_id,total_time_ns,iterations_count,std_dev_time_ns
MOD_10,8,739,1307950,47.56
MOD_10,9,738,1292800,32.56
MOD_10,10,722,1358450,37.42
MOD_25,1,806,1267550,35.7
MOD_25,2,798,1292800,46.75
MOD_25,3,791,1232200,41.79
MOD_25,4,783,1292800,40.94
MOD_25,5,778,1237250,45.54
MOD_25,6,785,1262500,45.79
MOD_25,7,784,1287750,44.49
MOD_25,8,792,1247350,44.72
MOD_25,9,773,1302900,43.21
MOD_25,10,786,1237250,28.24
MOD_15,1,734,1307950,46.3
MOD_15,2,726,1343300,31.55
MOD_15,3,733,1388750,49.19
MOD_15,4,732,1358450,47.21
MOD_15,5,742,1383700,46.87
MOD_15,6,716,1338250,32.73
MOD_15,7,732,1318050,38.02
MOD_15,8,726,1307950,51.07
MOD_15,9,715,1368550,33.77
MOD_15,10,730,1368550,44.36
MOD_35,1,844,1212000,46.04
MOD_35,2,845,1161500,41.81
MOD_35,3,847,1171600,45.85
MOD_35,4,832,1212000,45.71
MOD_35,5,831,1201900,46.06
MOD_35,6,829,1181700,42.35
MOD_35,7,834,1186750,37.66
MOD_35,8,831,1161500,32.65
MOD_35,9,835,1196850,43.49
MOD_35,10,840,1232200,44.83
MOD_20,1,753,1353400,40.95
MOD_20,2,744,1338250,44.84
MOD_20,3,745,1343300,40.6
MOD_20,4,756,1353400,40.7
MOD_20,5,754,1307950,46.95
MOD_20,6,744,1353400,43.09
MOD_20,7,753,1353400,42.11
MOD_20,8,758,1328150,41.17
MOD_20,9,746,1353400,29.63
MOD_20,10,734,1328150,28.68
MOD_0,1,611,1555400,38.27
MOD_0,2,596,1525100,32.06
MOD_0,3,624,1520050,46.64
MOD_0,4,612,1605900,54.74
MOD_0,5,613,1605900,41.93
MOD_0,6,659,1504900,52.49
MOD_0,7,679,1454400,47.3
MOD_0,8,608,1631150,37.51
MOD_0,9,613,1494800,38.96
MOD_0,10,619,1590750,28.53
MOD_50,1,872,1141300,35.53
MOD_50,2,873,1126150,38.78
MOD_50,3,896,1126150,47.86
MOD_50,4,895,1116050,48.13
MOD_50,5,880,1151400,37.02
MOD_50,6,873,1176650,37.68
MOD_50,7,896,1105950,44.06
MOD_50,8,898,1121100,51.69
MOD_50,9,892,1116050,46.35
MOD_50,10,882,1085750,38.52
MOD_30,1,789,1262500,31.97
MOD_30,2,818,1237250,44.0
MOD_30,3,822,1267550,48.23
MOD_30,4,795,1232200,33.1
MOD_30,5,805,1227150,31.3
MOD_30,6,802,1242300,44.21
MOD_30,7,805,1257450,43.31
MOD_30,8,803,1206950,53.54
MOD_30,9,797,1257450,43.45
MOD_30,10,811,1196850,33.04
SMOD_40,1,1014,999900,41.35
SMOD_40,2,995,1010000,45.72
SMOD_40,3,1003,1010000,45.84
SMOD_40,4,981,1010000,35.18
SMOD_40,5,1004,994850,44.25
SMOD_40,6,997,989800,40.23
SMOD_40,7,981,1004950,33.53
SMOD_40,8,996,999900,43.38
SMOD_40,9,986,989800,30.2
SMOD_40,10,982,1015050,34.92
SMOD_45,1,1056,944350,42.2
SMOD_45,2,1031,939300,35.51
SMOD_45,3,1058,909000,34.36
SMOD_45,4,1073,939300,40.01
SMOD_45,5,1062,939300,38.62
SMOD_45,6,1032,944350,34.52
SMOD_45,7,1061,954450,47.88
SMOD_45,8,1038,939300,31.09
SMOD_45,9,1058,959500,44.3
SMOD_45,10,1064,959500,46.3
SMOD_5,1,668,1464500,28.78
SMOD_5,2,688,1429150,39.67
SMOD_5,3,686,1449350,43.83
SMOD_5,4,668,1429150,27.34
SMOD_5,5,675,1479650,33.37
SMOD_5,6,669,1424100,34.54
SMOD_5,7,687,1454400,42.77
SMOD_5,8,686,1444300,36.13
SMOD_5,9,683,1388750,25.59
SMOD_5,10,674,1449350,27.99
SMOD_10,1,742,1302900,42.93
SMOD_10,2,762,1302900,33.03
SMOD_10,3,759,1302900,43.66
SMOD_10,4,755,1297850,36.16
SMOD_10,5,752,1287750,33.55
SMOD_10,6,753,1348350,34.76
SMOD_10,7,770,1237250,34.26
SMOD_10,8,758,1313000,35.75
SMOD_10,9,747,1307950,37.65
SMOD_10,10,751,1307950,31.14
SMOD_25,1,885,1131200,40.78
SMOD_25,2,901,1121100,34.21
SMOD_25,3,848,1111000,27.52
SMOD_25,4,865,1191800,46.74
SMOD_25,5,877,1100900,45.38
SMOD_25,6,887,1126150,46.53
SMOD_25,7,867,1176650,38.33
SMOD_25,8,869,1116050,47.16
SMOD_25,9,888,1131200,40.03
SMOD_25,10,875,1146350,39.71
SMOD_15,1,773,1262500,35.35
SMOD_15,2,768,1262500,37.18
SMOD_15,3,777,1267550,37.81
SMOD_15,4,771,1252400,36.44
SMOD_15,5,783,1252400,46.44
SMOD_15,6,823,1237250,40.58
SMOD_15,7,787,1282700,38.09
SMOD_15,8,796,1252400,48.82
SMOD_15,9,762,1272600,26.38
SMOD_15,10,790,1227150,43.47
SMOD_35,1,957,1045350,44.23
SMOD_35,2,960,1025150,42.08
SMOD_35,3,955,1080700,42.27
SMOD_35,4,965,1030200,42.48
SMOD_35,5,968,1055450,49.95
SMOD_35,6,968,1065550,45.54
SMOD_35,7,957,1050400,43.18
SMOD_35,8,932,1050400,31.54
SMOD_35,9,931,1025150,30.04
SMOD_35,10,963,1025150,43.71
SMOD_20,1,833,1166550,41.38
SMOD_20,2,831,1186750,54.21
SMOD_20,3,826,1201900,50.67
SMOD_20,4,832,1196850,41.47
SMOD_20,5,814,1247350,44.62
SMOD_20,6,840,1232200,46.62
SMOD_20,7,824,1232200,40.72
SMOD_20,8,818,1252400,45.75
SMOD_20,9,823,1247350,46.75
SMOD_20,10,846,1161500,49.4
SMOD_0,1,611,1499850,37.22
SMOD_0,2,626,1616000,53.43
SMOD_0,3,638,1610950,53.05
SMOD_0,4,683,1520050,37.16
SMOD_0,5,630,1525100,49.59
SMOD_0,6,621,1504900,54.89
SMOD_0,7,625,1504900,40.42
SMOD_0,8,669,1504900,39.34
SMOD_0,9,629,1494800,51.97
SMOD_0,10,625,1610950,49.7
SMOD_50,1,1032,954450,35.08
SMOD_50,2,1088,969600,54.86
SMOD_50,3,1070,954450,42.42
SMOD_50,4,1068,939300,37.72
SMOD_50,5,1083,954450,47.34
