program_id,sample_id,total_time_ns,iterations_count,margin_of_error
SDIV_20,5,85062.16970430751,1176,±5.04%
SDIV_20,6,87604.55564719613,1158,±6.38%
SDIV_20,7,81925.43198494126,1221,±3.33%
SDIV_20,8,85114.1357421875,1175,±5.00%
SDIV_20,9,84076.1585395877,1190,±4.80%
SDIV_20,10,86728.29269329844,1154,±5.04%
SDIV_0,1,81450.33497763769,1228,±5.02%
SDIV_0,2,82396.71369638953,1215,±5.09%
SDIV_0,3,82085.93254308411,1219,±4.11%
SDIV_0,4,82475.7109765464,1213,±5.18%
SDIV_0,5,82257.55942495246,1216,±5.01%
SDIV_0,6,84720.18843480431,1181,±5.01%
SDIV_0,7,81896.34956821872,1222,±4.17%
SDIV_0,8,81436.71638414216,1228,±4.69%
SDIV_0,9,86177.21150190434,1161,±6.59%
SDIV_0,10,81223.30207329293,1232,±4.01%
SDIV_50,1,92953.92656858082,1076,±4.38%
SDIV_50,2,92713.89428281032,1079,±4.31%
SDIV_50,3,94763.67632548015,1056,±4.74%
SDIV_50,4,96474.4295655474,1037,±6.34%
SDIV_50,5,92716.9842229495,1079,±3.96%
SDIV_50,6,94866.33590047393,1055,±4.75%
SDIV_50,7,95383.64319487681,1049,±4.98%
SDIV_50,8,96957.56158163381,1032,±4.98%
SDIV_50,9,91501.5692680338,1093,±3.87%
SDIV_50,10,94082.87270833945,1063,±4.63%
SDIV_30,1,89086.78226352058,1123,±4.48%
SDIV_30,2,89617.31558632253,1116,±4.76%
SDIV_30,3,94310.32545717114,1061,±7.04%
SDIV_30,4,87371.78619251502,1145,±3.78%
SDIV_30,5,89235.80091410082,1121,±4.70%
SDIV_30,6,90535.58763875141,1105,±5.06%
SDIV_30,7,93941.9813559089,1065,±5.77%
SDIV_30,8,88431.50252688785,1131,±4.14%
